timestamp,machine,line,planned_time_min,downtime_min,total_count,good_count,downtime_reason
2026-03-01T06:00:00,Filler-01,Line 1,60,4.5,1180,1165,Changeover
2026-03-01T07:00:00,Filler-01,Line 1,60,0,1240,1238,
2026-03-01T08:00:00,Filler-01,Line 1,60,12.0,980,962,Jam - infeed
2026-03-01T09:00:00,Filler-01,Line 1,60,0,1225,1220,
2026-03-01T06:00:00,Capper-02,Line 1,60,0,1210,1207,
2026-03-01T07:00:00,Capper-02,Line 1,60,7.5,1105,1090,Mechanical fault
2026-03-01T08:00:00,Capper-02,Line 1,60,0,1230,1229,
2026-03-01T09:00:00,Capper-02,Line 1,60,3.0,1190,1185,Minor stop
2026-03-01T06:00:00,Labeler-03,Line 2,60,22.0,760,701,Label web break
2026-03-01T07:00:00,Labeler-03,Line 2,60,3.0,1150,1142,Minor stop
2026-03-01T08:00:00,Labeler-03,Line 2,60,0,1215,1210,
2026-03-01T09:00:00,Labeler-03,Line 2,60,18.0,845,820,Material starvation
